"date_time","month","season","occ.sess","occasion","session","site","trt","food_trt","helm_trt","tag","firstcap","trap","x","y","caps_per_occ","traps_per_occ","sex","adult","current_breeder","ever_breeder","per","nip","preg","test","head","mass","fate","first_seen","last_seen","days_known_alive","recapped","caps_per_life","traps_per_life","res","caps_per_season","traps_per_season"
2021-06-12 06:00:00,"june","summer","2.3","2",3,"radio","fed_control","fed","control","226071","1","K1",11,1,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.5,24,"R",2021-06-12 06:00:00,2021-07-12 18:00:00,30.5,"1",3,3,"nonresident",3,3
2021-07-11 18:00:00,"july","summer","3.2","3",2,"radio","fed_control","fed","control","226071","0","I5",9,9,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",14.4,26,"R",2021-06-12 06:00:00,2021-07-12 18:00:00,30.5,"1",3,3,"nonresident",3,3
2021-07-12 18:00:00,"july","summer","3.4","3",4,"radio","fed_control","fed","control","226071","0","K2",11,3,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",14.4,26,"R",2021-06-12 06:00:00,2021-07-12 18:00:00,30.5,"1",3,3,"nonresident",3,3
2021-06-12 06:00:00,"june","summer","2.3","2",3,"janakkala","fed_deworm","fed","deworm","226072","1","A6",1,11,1,1,"M","juv-subA","nonbreeder","nonbreeder",NA,NA,NA,"0",12.8,16.5,"R",2021-06-12 06:00:00,2021-06-12 06:00:00,0,"0",1,1,"nonresident",1,1
2021-07-11 18:00:00,"july","summer","3.2","3",2,"janakkala","fed_deworm","fed","deworm","226073","1","G1",7,1,1,1,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.1,15.5,"R",2021-07-11 18:00:00,2021-08-10 18:00:00,30,"1",4,3,"nonresident",4,3
2021-08-09 18:00:00,"aug","summer","4.2","4",2,"janakkala","fed_deworm","fed","deworm","226073","0","H1",8,2,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.5,22,"R",2021-07-11 18:00:00,2021-08-10 18:00:00,30,"1",4,3,"nonresident",4,3
2021-08-10 06:00:00,"aug","summer","4.3","4",3,"janakkala","fed_deworm","fed","deworm","226073","0","G2",7,3,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.5,22,"R",2021-07-11 18:00:00,2021-08-10 18:00:00,30,"1",4,3,"nonresident",4,3
2021-08-10 18:00:00,"aug","summer","4.4","4",4,"janakkala","fed_deworm","fed","deworm","226073","0","H1",8,2,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.5,22,"R",2021-07-11 18:00:00,2021-08-10 18:00:00,30,"1",4,3,"nonresident",4,3
2021-06-11 06:00:00,"june","summer","2.1","2",1,"radio","fed_control","fed","control","226074","1","A2",1,3,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",15.5,21,"R",2021-06-11 06:00:00,2021-06-12 18:00:00,1.5,"1",2,2,"nonresident",2,2
2021-06-12 18:00:00,"june","summer","2.4","2",4,"radio","fed_control","fed","control","226074","0","A3",1,5,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",15.5,21,"R",2021-06-11 06:00:00,2021-06-12 18:00:00,1.5,"1",2,2,"nonresident",2,2
